Head,Rel,Tail
목청을 가다듬는다,PosEnv,기대하다
목청을 가다듬는다,PosEnv,긴장하다
목청을 가다듬는다,NegEnv,긴장하다
목청을 가다듬는다,NegEnv,불안하다
목청을 가다듬는다,NegEnv,당황하다
옷매무새를 가다듬는다,PosEnv,존경하다
옷매무새를 가다듬는다,NegEnv,긴장하다
호흡을 가다듬는다,PosEnv,흥분하다
호흡을 가다듬는다,NegEnv,당황하다
눈물이 가득하다,PosEnv,감동받다
눈물이 가득하다,PosEnv,고맙다
눈물이 가득하다,NegEnv,슬프다
눈물이 가득하다,NegEnv,걱정하다
눈물이 가득하다,NegEnv,불안하다
목소리가 가라앉는다,PosEnv,진정하다
목소리가 가라앉는다,PosEnv,편안하다
목소리가 가라앉는다,NegEnv,우울하다
목소리가 가라앉는다,NegEnv,유감스럽다
목소리가 가라앉는다,NegEnv,두렵다
웃음소리가 가라앉는다,PosEnv,경외심이 들다
웃음소리가 가라앉는다,NegEnv,겁에 질리다
말을 가로막는다,PosEnv,흥분하다
말을 가로막는다,NegEnv,무시하다
Y를 가로막는다,PosEnv,흥분하다
Y를 가로막는다,NegEnv,분노하다
Y를 가로막는다,NegEnv,적대시하다
Y를 가로막는다,NegEnv,걱정하다
고개를 격하게 가로젓는다,PosEnv,신나다
고개를 격하게 가로젓는다,NegEnv,혐오하다
고개를 느리게 가로젓는다,NegEnv,실망하다
고개를 느리게 가로젓는다,NegEnv,체념하다
손으로 눈을 가린다,PosEnv,감동받다
손으로 눈을 가린다,NegEnv,절망하다
손으로 무릎을 가린다,PosEnv,부끄럽다
손으로 무릎을 가린다,NegEnv,창피하다
손으로 얼굴을 가린다,PosEnv,쑥스럽다
손으로 얼굴을 가린다,NegEnv,창피하다
손으로 얼굴을 가린다,NegEnv,수치스럽다
손으로 입을 가린다,PosEnv,놀라다
손으로 입을 가린다,NegEnv,슬프다
양손으로 얼굴을 가린다,PosEnv,쑥스럽다
양손으로 얼굴을 가린다,NegEnv,당황하다
자신의 팔목을 가린다,PosEnv,부끄럽다
자신의 팔목을 가린다,NegEnv,초라하다
자신의 몸을 가린다,PosEnv,놀라다
자신의 몸을 가린다,NegEnv,수치스럽다
자신의 몸을 가린다,NegEnv,불안하다
발걸음이 가볍다,PosEnv,행복하다
발걸음이 가볍다,PosEnv,신나다
호흡이 가쁘다,PosEnv,흥분하다
호흡이 가쁘다,NegEnv,겁에 질리다
호흡이 가쁘다,NegEnv,충격받다
얼굴에 손을 자주 가져간다,PosEnv,쑥스럽다
얼굴에 손을 자주 가져간다,NegEnv,초조하다
이를 간다,NegEnv,분노하다
갈팡질팡한다,PosEnv,긴장하다
갈팡질팡한다,NegEnv,의심하다
갈팡질팡한다,NegEnv,두렵다
눈이 반쯤 감긴다,PosEnv,안심하다
눈이 반쯤 감긴다,PosEnv,안정을 찾다
눈이 반쯤 감긴다,NegEnv,심드렁하다
눈이 스르르 감긴다,PosEnv,안심하다
눈이 스르르 감긴다,NegEnv,망연자실하다
눈을 감는다,PosEnv,만족하다
눈을 감는다,PosEnv,평안하다
눈을 감는다,NegEnv,겁에 질리다
눈을 지그시 감는다,PosEnv,평안하다
눈을 지그시 감는다,PosEnv,안정을 찾다
눈을 지그시 감는다,NegEnv,그리워하다
눈을 꼭 감는다,PosEnv,안도하다
눈을 꼭 감는다,PosEnv,안정을 찾다
눈을 꼭 감는다,NegEnv,겁에 질리다
귀를 감싼다,NegEnv,고민하다
머리를 감싼다,NegEnv,짜증나다
머리를 감싼다,NegEnv,낙담하다
손으로 얼굴을 감싼다,PosEnv,감동받다
손으로 얼굴을 감싼다,NegEnv,절망하다
손으로 얼굴을 감싼다,NegEnv,체념하다
손으로 팔꿈치를 감싼다,NegEnv,불안하다
양팔로 몸을 감싼다,PosEnv,흥분하다
양팔로 몸을 감싼다,NegEnv,우울하다
양팔로 몸을 감싼다,NegEnv,두렵다
양팔로 몸을 감싼다,NegEnv,창피하다
양팔로 상체를 감싼다,NegEnv,슬프다
양팔로 상체를 감싼다,NegEnv,그리워하다
양팔로 자신의 어깨를 감싼다,NegEnv,슬프다
양팔로 자신의 어깨를 감싼다,NegEnv,망연자실하다
목덜미를 손으로 감싼다,PosEnv,안정을 찾다
목덜미를 손으로 감싼다,NegEnv,초조하다
목덜미를 손으로 감싼다,NegEnv,불안하다
턱을 손으로 감싼다,PosEnv,만족하다
턱을 손으로 감싼다,NegEnv,고민하다
자신의 배를 감싼다,PosEnv,부끄럽다
자신의 배를 감싼다,NegEnv,불안하다
Y의 어깨를 감싼다,PosEnv,좋아하다
Y의 어깨를 감싼다,PosEnv,유대감을 느끼다
Y의 어깨를 감싼다,NegEnv,동정하다
모습을 감춘다,PosEnv,부끄럽다
모습을 감춘다,NegEnv,유감스럽다
상처를 감춘다,NegEnv,초라하다
손바닥을 감춘다,NegEnv,불신하다
손바닥을 감춘다,NegEnv,불안하다
손을 등 뒤로 감춘다,PosEnv,쑥스럽다
손을 등 뒤로 감춘다,NegEnv,두렵다
머리를 갸웃거린다,PosEnv,호기심이 생기다
머리를 갸웃거린다,NegEnv,혼란스럽다
내민 손을 거둬들인다,NegEnv,실망하다
내민 손을 거둬들인다,NegEnv,체념하다
하려던 짓을 그만둔다,PosEnv,놀라다
하려던 짓을 그만둔다,NegEnv,주저하다
하려던 짓을 그만둔다,NegEnv,불편하다
하려던 짓을 그만둔다,NegEnv,당황하다
거들먹거린다,PosEnv,자부심을 느끼다
거들먹거린다,NegEnv,질투하다
거들먹거린다,NegEnv,불안하다
숨결이 거칠다,PosEnv,욕정을 느끼다
숨결이 거칠다,NegEnv,분노하다
호흡이 거칠어진다,PosEnv,흥분하다
호흡이 거칠어진다,NegEnv,조급하다
호흡이 거칠어진다,NegEnv,초조하다
넌지시 말을 건넨다,PosEnv,호기심을 느끼다
넌지시 말을 건넨다,NegEnv,심드렁하다
모르는 Y에게 말을 건다,NegEnv,외롭다
시비를 건다,PosEnv,흥분하다
시비를 건다,NegEnv,짜증나다
시비를 건다,NegEnv,혐오하다
Y를 톡톡 건드린다,PosEnv,좋아하다
Y를 톡톡 건드린다,PosEnv,호기심이 생기다
Y를 톡톡 건드린다,NegEnv,불안하다
고개를 푹 숙이고 걷는다,NegEnv,우울하다
고개를 푹 숙이고 걷는다,NegEnv,초라하다
고개를 푹 숙이고 걷는다,NegEnv,체념하다
곧은 걸음걸이로 걷는다,PosEnv,자신감이 있다
넓은 보폭으로 걷는다,PosEnv,즐겁다
넓은 보폭으로 걷는다,PosEnv,신나다
뛰다시피 걷는다,PosEnv,신나다
뛰다시피 걷는다,PosEnv,흥분하다
뛰다시피 걷는다,NegEnv,다급하다
뛰다시피 걷는다,NegEnv,두렵다
Y에게서 멀찍이 떨어져 걷는다,NegEnv,무시하다
Y에게서 멀찍이 떨어져 걷는다,NegEnv,경멸하다
보폭을 평소보다 좁게 걷는다,NegEnv,체념하다
축 쳐진 채 걷는다,NegEnv,슬프다
축 쳐진 채 걷는다,NegEnv,망연자실하다
축 쳐진 채 걷는다,NegEnv,체념하다
휘적휘적 걷는다,PosEnv,신나다
휘적휘적 걷는다,PosEnv,자신감이 있다
까치발로 걷다,PosEnv,재미있다
까치발로 걷다,NegEnv,두렵다
태평하게 걷다,PosEnv,평안하다
태평하게 걷다,NegEnv,심드렁하다
발로 땅바닥을 걷어찬다,NegEnv,짜증나다
발로 땅바닥을 걷어찬다,NegEnv,실망하다
Y를 걷어찬다,NegEnv,분노하다
자신의 발에 걸린다,PosEnv,긴장하다
자신의 발에 걸린다,PosEnv,흥분하다
자신의 발에 걸린다,NegEnv,긴장하다
자신의 발에 걸린다,NegEnv,조급하다
자신의 발에 걸린다,NegEnv,당황하다
뒤돌아보지 않고 걸어간다,PosEnv,자신감이 있다
뒤돌아보지 않고 걸어간다,PosEnv,흥분하다
뒤돌아보지 않고 걸어간다,NegEnv,분노하다
뒤돌아보지 않고 걸어간다,NegEnv,실망하다
팔을 등받이에 걸친다,PosEnv,평안하다
팔을 등받이에 걸친다,PosEnv,안정을 찾다
팔을 등받이에 걸친다,NegEnv,심드렁하다
의자 끝에 걸터앉는다,PosEnv,평안하다
Y를 격려한다,PosEnv,만족하다
Y를 격려한다,PosEnv,기쁘다
Y를 격려한다,NegEnv,안타깝다
어조가 격앙된다,PosEnv,도취되다
어조가 격앙된다,PosEnv,신나다
어조가 격앙된다,PosEnv,흥분하다
어조가 격앙된다,NegEnv,분노하다
어조가 격앙된다,NegEnv,짜증나다
Y를 경계한다,NegEnv,의심하다
Y를 경계한다,NegEnv,두렵다
상체가 경직된다,PosEnv,긴장하다
상체가 경직된다,NegEnv,두렵다
상체가 경직된다,NegEnv,긴장하다
상체가 경직된다,NegEnv,당황하다
Y의 말에 경청한다,PosEnv,좋아하다
Y의 말에 경청한다,NegEnv,두렵다
곁눈질한다,PosEnv,좋아하다
곁눈질한다,NegEnv,불신하다
곁눈질한다,NegEnv,불안하다
빠르게 고갯짓한다,PosEnv,확신에 차다
빠르게 고갯짓한다,NegEnv,겁에 질리다
호흡이 고르다,PosEnv,만족하다
호흡이 고르다,PosEnv,평안하다
숨을 고른다,PosEnv,안정을 찾다
숨을 고른다,NegEnv,불안하다
목소리가 고조된다,PosEnv,도취되다
목소리가 고조된다,PosEnv,신나다
목소리가 고조된다,NegEnv,불쾌하다
목소리가 고조된다,NegEnv,짜증나다
목소리가 고조된다,NegEnv,분개하다
화장을 고치고 또 고친다,PosEnv,설레다
화장을 고치고 또 고친다,PosEnv,기대하다
화장을 고치고 또 고친다,NegEnv,초조하다
화장을 고치고 또 고친다,NegEnv,불안하다
촉각을 곤두세운다,PosEnv,긴장하다
촉각을 곤두세운다,NegEnv,의심하다
촉각을 곤두세운다,NegEnv,두렵다
촉각을 곤두세운다,NegEnv,긴장하다
신경을 곤두세운다,PosEnv,긴장하다
신경을 곤두세운다,NegEnv,의심하다
신경을 곤두세운다,NegEnv,불안하다
신경을 곤두세운다,NegEnv,긴장하다
Y를 말로 공격한다,NegEnv,분노하다
Y를 말로 공격한다,NegEnv,싫어하다
Y를 말로 공격한다,NegEnv,시기하다
묵묵히 관조한다,PosEnv,만족하다
묵묵히 관조한다,NegEnv,체념하다
한 손으로 턱을 괸다,PosEnv,관심이 있다
한 손으로 턱을 괸다,NegEnv,고민하다
Y와 시선을 교환한다,PosEnv,좋아하다
Y와 시선을 교환한다,NegEnv,불안하다
Y와 끈적한 시선을 교환한다,PosEnv,욕정을 느끼다
Y와 눈빛을 교환한다,PosEnv,신나다
Y와 눈빛을 교환한다,PosEnv,재미있다
Y와 눈빛을 교환한다,NegEnv,불안하다
바닥에 발을 구른다,PosEnv,신나다
바닥에 발을 구른다,PosEnv,재미있다
바닥에 발을 구른다,PosEnv,긴장하다
바닥에 발을 구른다,NegEnv,짜증나다
바닥에 발을 구른다,NegEnv,조급하다
바닥에 발을 구른다,NegEnv,긴장하다
바닥에 쓰러져 데굴데굴 구른다,PosEnv,유쾌하다
바닥에 쓰러져 데굴데굴 구른다,PosEnv,재미있다
바닥에 쓰러져 데굴데굴 구른다,NegEnv,반항하다
발을 동동 구른다,PosEnv,신나다
발을 동동 구른다,PosEnv,기대하다
발을 동동 구른다,NegEnv,걱정하다
발을 동동 구른다,NegEnv,조급하다
발을 동동 구른다,NegEnv,절박하다
발을 쿵쿵 구른다,PosEnv,신나다
발을 쿵쿵 구른다,PosEnv,기대하다
발을 쿵쿵 구른다,NegEnv,분노하다
발을 쿵쿵 구른다,NegEnv,짜증나다
손뼉을 치며 발을 구른다,PosEnv,유쾌하다
손뼉을 치며 발을 구른다,PosEnv,재미있다
등을 구부린다,NegEnv,상처받다
등을 구부린다,NegEnv,고통스럽다
몸을 구부린다,NegEnv,불안하다
어깨가 구부정하다,NegEnv,위축되다
자세가 구부정하다,NegEnv,위축되다
자세가 구부정하다,NegEnv,실망하다
자세가 구부정하다,NegEnv,불편하다
구시렁거린다,NegEnv,짜증나다
구시렁거린다,NegEnv,화나다
구시렁거린다,NegEnv,불안하다
Y에 대해 구시렁거린다,NegEnv,질투하다
Y에 대해 구시렁거린다,NegEnv,불만족스럽다
Y에 대해 구시렁거린다,NegEnv,시기하다
Y에게 의견을 구한다,PosEnv,좋아하다
Y에게 의견을 구한다,NegEnv,불안하다
Y에게 조언을 구한다,PosEnv,좋아하다
Y에게 조언을 구한다,NegEnv,불안하다
딱딱하게 군다,PosEnv,쑥스럽다
딱딱하게 군다,PosEnv,당황하다
딱딱하게 군다,NegEnv,두렵다
딱딱하게 군다,NegEnv,당황하다
변덕스럽게 군다,NegEnv,초조하다
변덕스럽게 군다,NegEnv,불안하다
위협적으로 군다,NegEnv,분노하다
위협적으로 군다,NegEnv,화나다
짓궂게 군다,PosEnv,즐겁다
짓궂게 군다,PosEnv,유쾌하다
짓궂게 군다,NegEnv,무시하다
충동적으로 군다,PosEnv,긴장하다
충동적으로 군다,PosEnv,흥분하다
충동적으로 군다,NegEnv,혼란스럽다
충동적으로 군다,NegEnv,불안하다
퉁명스럽게 군다,PosEnv,쑥스럽다
퉁명스럽게 군다,NegEnv,짜증나다
퉁명스럽게 군다,NegEnv,혐오하다
퉁명스럽게 군다,NegEnv,불편하다
갑자기 표정이 굳는다,PosEnv,놀라다
갑자기 표정이 굳는다,NegEnv,놀라다
갑자기 표정이 굳는다,NegEnv,충격받다
순간적으로 몸이 굳는다,PosEnv,놀라다
순간적으로 몸이 굳는다,PosEnv,긴장하다
순간적으로 몸이 굳는다,NegEnv,긴장하다
순간적으로 몸이 굳는다,NegEnv,놀라다
순간적으로 몸이 굳는다,NegEnv,당황하다
자세가 굳는다,PosEnv,놀라다
자세가 굳는다,NegEnv,분노하다
자세가 굳는다,NegEnv,부끄럽다
자세가 굳는다,NegEnv,혐오하다
눈알을 굴린다,PosEnv,즐겁다
눈알을 굴린다,PosEnv,호기심이 생기다
눈알을 굴린다,PosEnv,신나다
눈알을 굴린다,NegEnv,불안하다
눈을 이리저리 굴린다,NegEnv,혼란스럽다
눈을 이리저리 굴린다,NegEnv,불안하다
동작이 굼뜨다,NegEnv,분노하다
동작이 굼뜨다,NegEnv,우울하다
어깨가 굽는다,NegEnv,위축되다
눈물이 그렁그렁하다,PosEnv,감동받다
눈물이 그렁그렁하다,PosEnv,고맙다
눈물이 그렁그렁하다,NegEnv,우울하다
눈물이 그렁그렁하다,NegEnv,상처받다
팔로 엑스자를 그린다,PosEnv,확신에 차다
팔로 엑스자를 그린다,NegEnv,불쾌하다
승리의 브이자를 그린다,PosEnv,도취되다
승리의 브이자를 그린다,PosEnv,신나다
승리의 브이자를 그린다,PosEnv,희열을 느끼다
눈물을 글썽인다,PosEnv,만족하다
눈물을 글썽인다,PosEnv,감동받다
눈물을 글썽인다,NegEnv,우울하다
눈물을 글썽인다,NegEnv,슬프다
비위를 살살 긁는다,NegEnv,짜증나다
비위를 살살 긁는다,NegEnv,무시하다
손톱으로 뺨을 긁는다,PosEnv,쑥스럽다
손톱으로 뺨을 긁는다,NegEnv,불안하다
손톱으로 손바닥을 긁는다,NegEnv,분노하다
머리를 긁적거린다,PosEnv,쑥스럽다
머리를 긁적거린다,NegEnv,머쓱하다
머리를 긁적거린다,NegEnv,난감하다
뺨을 긁적거린다,PosEnv,쑥스럽다
뺨을 긁적거린다,NegEnv,고민하다
팔꿈치를 긁적거린다,NegEnv,고민하다
턱을 긁적인다,NegEnv,불신하다
턱을 긁적인다,NegEnv,심드렁하다
턱을 긁적인다,NegEnv,의심하다
성호를 긋는다,PosEnv,안도하다
성호를 긋는다,PosEnv,안심하다
성호를 긋는다,NegEnv,두렵다
칼로 손목을 긋는다,NegEnv,우울하다
칼로 손목을 긋는다,NegEnv,절박하다
Y를 기다린다,PosEnv,설레다
Y를 기다린다,PosEnv,기대하다
Y를 기다린다,NegEnv,초조하다
Y를 기다린다,NegEnv,불안하다
벽에 기댄다,PosEnv,안도하다
벽에 기댄다,NegEnv,실망하다
벽에 기댄다,NegEnv,무기력하다
의자에 기댄다,PosEnv,흥미롭다
의자에 기댄다,PosEnv,유쾌하다
의자에 기댄다,NegEnv,충격받다
고개를 옆으로 기울인다,PosEnv,호기심이 생기다
고개를 옆으로 기울인다,NegEnv,혼란스럽다
고개를 한쪽으로 기울인다,PosEnv,호기심이 생기다
고개를 한쪽으로 기울인다,PosEnv,놀라다
고개를 한쪽으로 기울인다,NegEnv,혼란스럽다
상체를 뒤로 기울인다,PosEnv,관심을 가지다
상체를 뒤로 기울인다,NegEnv,불쾌하다
주의를 기울인다,PosEnv,좋아하다
주의를 기울인다,NegEnv,의심하다
주의를 기울인다,NegEnv,긴장하다
Y쪽으로 상체를 기울인다,PosEnv,좋아하다
Y쪽으로 상체를 기울인다,PosEnv,관심을 가지다
Y쪽으로 상체를 기울인다,NegEnv,의심하다
Y를 향해 몸을 기울인다,PosEnv,좋아하다
Y를 향해 몸을 기울인다,PosEnv,친밀감을 느끼다
Y를 향해 몸을 기울인다,NegEnv,의심하다
Y를 향해 몸을 기울인다,NegEnv,화나다
Y의 말에 귀 기울인다,PosEnv,좋아하다
Y의 말에 귀 기울인다,PosEnv,존경하다
Y의 말에 귀 기울인다,NegEnv,긴장하다
신체 접촉을 기피한다,PosEnv,부끄럽다
신체 접촉을 기피한다,NegEnv,불쾌하다
Y를 피한다,NegEnv,무시하다
Y를 피한다,NegEnv,두렵다
Y를 피한다,NegEnv,혐오하다
호흡이 깊어진다,PosEnv,욕정을 느끼다
호흡이 깊어진다,NegEnv,두렵다
고개만 까딱거린다,NegEnv,우울하다
고개만 까딱거린다,NegEnv,절망하다
발끝을 까딱거린다,PosEnv,즐겁다
발끝을 까딱거린다,PosEnv,기대하다
발끝을 까딱거린다,NegEnv,짜증나다
발끝을 까딱거린다,NegEnv,불편하다
발끝을 까딱거린다,NegEnv,거슬리다
손가락을 까딱거린다,PosEnv,신나다
손가락을 까딱거린다,PosEnv,긴장하다
손가락을 까딱거린다,NegEnv,무시하다
손가락을 까딱거린다,NegEnv,긴장하다
Y를 깎아내린다,PosEnv,고소해하다
Y를 깎아내린다,NegEnv,분개하다
Y를 깎아내린다,NegEnv,울분을 느끼다
Y를 깎아내린다,NegEnv,멸시하다
깐죽거린다,PosEnv,즐겁다
깐죽거린다,PosEnv,유쾌하다
깐죽거린다,PosEnv,신나다
깐죽거린다,NegEnv,시기하다
깔깔거린다,PosEnv,즐겁다
깔깔거린다,PosEnv,고소해하다
깔깔거린다,PosEnv,신나다
깔깔거린다,NegEnv,경멸하다
눈을 빠르게 깜박인다,PosEnv,놀라다
눈을 빠르게 깜박인다,NegEnv,초조하다
눈을 빠르게 깜박인다,NegEnv,불안하다
눈을 느리게 깜빡인다,PosEnv,놀라다
눈을 느리게 깜빡인다,NegEnv,혼란스럽다
눈을 느리게 깜빡인다,NegEnv,충격받다
Y를 깜빡한다,PosEnv,흥분하다
Y를 깜빡한다,NegEnv,충격받다
물건을 깨뜨린다,NegEnv,슬프다
볼 안쪽을 질겅질겅 깨문다,NegEnv,초조하다
볼 안쪽을 질겅질겅 깨문다,NegEnv,불안하다
손가락을 깨문다,NegEnv,고민하다
손가락을 깨문다,NegEnv,걱정하다
손가락을 깨문다,NegEnv,불안하다
아랫입술을 지그시 깨문다,NegEnv,수치스럽다
입술을 깨문다,PosEnv,기대하다
입술을 깨문다,NegEnv,불안하다
입술의 안쪽을 깨문다,NegEnv,의심하다
입술의 안쪽을 깨문다,NegEnv,불안하다
어금니를 꽉 깨문다,PosEnv,흥분하다
어금니를 꽉 깨문다,NegEnv,분노하다
음식을 깨작거린다,NegEnv,우울하다
음식을 깨작거린다,NegEnv,걱정하다
고개를 푹 꺾는다,NegEnv,우울하다
고개를 푹 꺾는다,NegEnv,초라하다
손가락 마디를 뚝뚝 꺾는다,NegEnv,분노하다
손가락을 하나씩 뚝뚝 꺾는다,NegEnv,화나다
눈을 껌뻑인다,PosEnv,놀라다
눈을 껌뻑인다,NegEnv,불신하다
눈을 껌뻑인다,NegEnv,놀라다
Y를 껴안는다,PosEnv,좋아하다
Y를 껴안는다,PosEnv,기쁘다
몸을 꼬다,PosEnv,욕정을 느끼다
몸을 꼬다,NegEnv,초조하다
몸을 꼬다,NegEnv,당황하다
자신의 살갗을 꼬집는다,PosEnv,긴장하다
자신의 살갗을 꼬집는다,NegEnv,불안하다
자신의 살갗을 꼬집는다,NegEnv,긴장하다
목젖을 꼬집는다,PosEnv,부러워하다
목젖을 꼬집는다,NegEnv,불편하다
자신의 입술을 꼬집는다,NegEnv,의심하다
자신의 입술을 꼬집는다,NegEnv,불안하다
머리카락을 꼰다,PosEnv,부끄럽다
머리카락을 꼰다,NegEnv,불안하다
발가락을 비비 꼰다,PosEnv,도취되다
발가락을 비비 꼰다,PosEnv,긴장하다
발가락을 비비 꼰다,NegEnv,고뇌하다
발가락을 비비 꼰다,NegEnv,긴장하다
발가락을 비비 꼰다,NegEnv,당황하다
손가락을 비비 꼰다,PosEnv,쑥스럽다
손가락을 비비 꼰다,PosEnv,긴장하다
손가락을 비비 꼰다,NegEnv,초조하다
손가락을 비비 꼰다,NegEnv,긴장하다
옷자락을 비비 꼰다,PosEnv,수줍다
옷자락을 비비 꼰다,NegEnv,불안하다
꼼지락거린다,PosEnv,긴장하다
꼼지락거린다,NegEnv,불안하다
꼼지락거린다,NegEnv,긴장하다
발가락을 꼼지락거린다,PosEnv,도취되다
발가락을 꼼지락거린다,PosEnv,신나다
발가락을 꼼지락거린다,PosEnv,기대하다
발가락을 꼼지락거린다,NegEnv,초조하다
발가락을 꼼지락거린다,NegEnv,불안하다
손발을 꼼지락거린다,PosEnv,수줍다
손발을 꼼지락거린다,NegEnv,주저하다
허리가 꼿꼿해진다,PosEnv,확신에 차다
허리가 꼿꼿해진다,PosEnv,희망에 부풀다
허리가 꼿꼿해진다,NegEnv,긴장하다
입술을 꾹 다문다,PosEnv,수줍다
입술을 꾹 다문다,NegEnv,당황하다
고개를 끄덕거린다,PosEnv,만족하다
고개를 끄덕거린다,PosEnv,안심하다
고개를 끄덕거린다,PosEnv,누그러지다
고개를 끄덕거린다,NegEnv,긴장하다
마지 못해 고개를 끄덕거린다,PosEnv,수줍다
마지 못해 고개를 끄덕거린다,NegEnv,의심하다
마지 못해 고개를 끄덕거린다,NegEnv,짜증나다
빠르게 고개를 끄덕거린다,PosEnv,만족하다
빠르게 고개를 끄덕거린다,PosEnv,기쁘다
빠르게 고개를 끄덕거린다,PosEnv,기대하다
빠르게 고개를 끄덕거린다,NegEnv,두렵다
흔쾌히 고개를 끄덕거린다,PosEnv,만족하다
흔쾌히 고개를 끄덕거린다,PosEnv,기쁘다
Y의 말에 고개를 끄덕인다,PosEnv,감탄하다
Y의 말에 고개를 끄덕인다,PosEnv,존경하다
끄적거린다,PosEnv,즐겁다
끄적거린다,PosEnv,평안하다
끄적거린다,PosEnv,신나다
끄적거린다,NegEnv,심드렁하다
말을 질질 끈다,PosEnv,쑥스럽다
말을 질질 끈다,NegEnv,두렵다
말을 질질 끈다,NegEnv,주저하다
팔을 잡아 끈다,PosEnv,유쾌하다
팔을 잡아 끈다,NegEnv,갑갑하다
Y의 말을 끊는다,NegEnv,싫어하다
Y의 말을 끊는다,NegEnv,멸시하다
말을 하다 끊는다,PosEnv,놀라다
말을 하다 끊는다,NegEnv,경악하다
연락을 끊는다,NegEnv,증오하다
연락을 끊는다,NegEnv,짜증나다
다리를 가슴까지 끌어당긴다,NegEnv,고뇌하다
다리를 가슴까지 끌어당긴다,NegEnv,쓸쓸하다
다리를 가슴까지 끌어당긴다,NegEnv,긴장하다
팔꿈치를 바짝 끌어당긴다,NegEnv,겁에 질리다
팔꿈치를 바짝 끌어당긴다,NegEnv,불편하다
Y를 자기 쪽으로 끌어당긴다,PosEnv,좋아하다
Y를 자기 쪽으로 끌어당긴다,PosEnv,욕정을 느끼다
Y를 자기 쪽으로 끌어당긴다,NegEnv,두렵다
Y를 자기 쪽으로 끌어당긴다,NegEnv,질투하다
불쑥 끼어든다,PosEnv,흥분하다
불쑥 끼어든다,NegEnv,답답하다
Y가 하는 말을 막고 끼어든다,PosEnv,도취되다
Y가 하는 말을 막고 끼어든다,PosEnv,흥분하다
Y가 하는 말을 막고 끼어든다,NegEnv,무시하다
Y가 하는 말을 막고 끼어든다,NegEnv,불안하다
Y의 말을 자르고 끼어든다,PosEnv,흥분하다
Y의 말을 자르고 끼어든다,NegEnv,화나다
Y의 말을 자르고 끼어든다,NegEnv,멸시하다
손을 무릎 사이에 끼운다,PosEnv,긴장하다
손을 무릎 사이에 끼운다,NegEnv,긴장하다
팔을 옆구리에 낀다,PosEnv,부끄럽다
팔을 옆구리에 낀다,NegEnv,삐지다
Y와 어색한 포옹을 나눈다,NegEnv,싫어하다
Y와 악수를 나눈다,PosEnv,쑥스럽다
Y와 악수를 나눈다,NegEnv,경계하다
자세가 나쁘다,NegEnv,불쾌하다
자세가 나쁘다,NegEnv,심드렁하다
자세가 나쁘다,NegEnv,불편하다
발 벗고 나선다,PosEnv,좋아하다
발 벗고 나선다,NegEnv,답답하다
말이 안 나온다,PosEnv,놀라다
말이 안 나온다,NegEnv,슬프다
말이 안 나온다,NegEnv,두렵다
말이 안 나온다,NegEnv,충격받다
말이 토막토막 쪼개져서 나온다,PosEnv,희열을 느끼다
말이 토막토막 쪼개져서 나온다,NegEnv,우울하다
