Head,Rel,Tail
손바닥으로 자신의 뺨을 두드린다,PosEnv,희망을 품다
손바닥으로 자신의 뺨을 두드린다,NegEnv,고민하다
벽을 힘껏 두드린다,PosEnv,흥분하다
벽을 힘껏 두드린다,NegEnv,불안하다
주먹으로 다리를 두들긴다,NegEnv,짜증나다
허벅지를 주먹으로 두드린다,NegEnv,초조하다
주위를 두리번거린다,NegEnv,혼란스럽다
주위를 두리번거린다,NegEnv,걱정하다
주위를 두리번거린다,NegEnv,긴장하다
Y와 거리를 둔다,PosEnv,쑥스럽다
Y와 거리를 둔다,NegEnv,두렵다
Y와 거리를 둔다,NegEnv,혐오하다
찬찬히 둘러본다,PosEnv,평안하다
찬찬히 둘러본다,PosEnv,안정을 찾다
찬찬히 둘러본다,PosEnv,긴장하다
찬찬히 둘러본다,NegEnv,의심하다
찬찬히 둘러본다,NegEnv,긴장하다
찬찬히 둘러본다,NegEnv,경계하다
여기저기 둘러본다,PosEnv,만족하다
여기저기 둘러본다,NegEnv,의심하다
여기저기 둘러본다,NegEnv,경계하다
뒤돌아선다,PosEnv,놀라다
뒤돌아선다,NegEnv,부끄럽다
뒤돌아선다,NegEnv,수치스럽다
물건을 뒤적거린다,NegEnv,의심하다
물건을 뒤적거린다,NegEnv,걱정하다
물건을 뒤적거린다,NegEnv,불안하다
물건을 자꾸 뒤진다,NegEnv,의심하다
물건을 자꾸 뒤진다,NegEnv,혼란스럽다
계속 뒤척인다,PosEnv,설레다
계속 뒤척인다,PosEnv,흥분하다
계속 뒤척인다,NegEnv,두렵다
계속 뒤척인다,NegEnv,걱정하다
계속 뒤척인다,NegEnv,불안하다
팔을 뒤튼다,NegEnv,반항하다
팔을 뒤튼다,NegEnv,불편하다
몸이 뒤틀린다,PosEnv,희열을 느끼다
몸이 뒤틀린다,NegEnv,역겨워하다
뒷걸음질친다,PosEnv,놀라다
뒷걸음질친다,NegEnv,끔찍하다
뒷걸음질친다,NegEnv,소름이 끼치다
뒷걸음질친다,NegEnv,충격받다
잔디밭에서 뒹군다,PosEnv,행복하다
잔디밭에서 뒹군다,PosEnv,유쾌하다
잔디밭에서 뒹군다,PosEnv,평안하다
눈의 흰자가 드러난다,PosEnv,희열을 느끼다
눈의 흰자가 드러난다,NegEnv,분개하다
눈의 흰자가 드러난다,NegEnv,울분을 느끼다
눈의 흰자가 드러난다,NegEnv,억울하다
하얀 치아를 드러낸다,PosEnv,즐겁다
하얀 치아를 드러낸다,PosEnv,자부심을 느끼다
하얀 치아를 드러낸다,NegEnv,분노하다
흰자위를 드러낸다,PosEnv,흥분하다
흰자위를 드러낸다,NegEnv,분노하다
고개를 꼿꼿이 든다,PosEnv,자신감이 있다
고개를 꼿꼿이 든다,NegEnv,반항하다
닥치는 대로 물건을 집어든다,NegEnv,분노하다
닥치는 대로 물건을 집어든다,NegEnv,분개하다
눈시울을 감추려 든다,NegEnv,창피하다
눈시울을 감추려 든다,NegEnv,좌절하다
얕게 잠이 든다,NegEnv,불편하다
얕게 잠이 든다,NegEnv,불안하다
흉기를 꺼내든다,PosEnv,흥분하다
흉기를 꺼내든다,NegEnv,분노하다
흉기를 꺼내든다,NegEnv,화나다
고개를 든다,PosEnv,확신에 차다
고개를 든다,NegEnv,반항하다
싸우려 들려한다,PosEnv,흥분하다
싸우려 들려한다,NegEnv,분노하다
가슴을 들썩거린다,PosEnv,유쾌하다
가슴을 들썩거린다,PosEnv,신나다
가슴을 들썩거린다,NegEnv,분노하다
가슴을 들썩거린다,NegEnv,분개하다
무릎을 들썩거린다,PosEnv,즐겁다
무릎을 들썩거린다,PosEnv,신나다
무릎을 들썩거린다,NegEnv,불안하다
발을 들썩거린다,PosEnv,즐겁다
발을 들썩거린다,PosEnv,행복하다
발을 들썩거린다,NegEnv,불안하다
앉은 자세에서 들썩거린다,PosEnv,신나다
앉은 자세에서 들썩거린다,PosEnv,기대하다
앉은 자세에서 들썩거린다,PosEnv,재미있다
앉은 자세에서 들썩거린다,NegEnv,화나다
어깨를 들썩거린다,PosEnv,즐겁다
어깨를 들썩거린다,PosEnv,신나다
어깨를 들썩거린다,NegEnv,슬프다
몸을 크게 들썩인다,PosEnv,즐겁다
몸을 크게 들썩인다,PosEnv,신나다
몸을 크게 들썩인다,NegEnv,분노하다
몸을 크게 들썩인다,NegEnv,초조하다
몸을 크게 들썩인다,NegEnv,불편하다
Y의 약점을 찾아 들쑤신다,PosEnv,고소해하다
Y의 약점을 찾아 들쑤신다,NegEnv,질투하다
Y의 약점을 찾아 들쑤신다,NegEnv,시기하다
목소리가 기어 들어간다,PosEnv,긴장하다
목소리가 기어 들어간다,NegEnv,우울하다
목소리가 기어 들어간다,NegEnv,두렵다
목소리가 기어 들어간다,NegEnv,긴장하다
목소리에 힘이 들어간다,PosEnv,확신에 차다
목소리에 힘이 들어간다,PosEnv,자부심을 느끼다
목소리에 힘이 들어간다,NegEnv,화나다
목소리에 힘이 들어간다,NegEnv,불편하다
목소리에 힘이 들어간다,NegEnv,긴장하다
Y를 높이 들어올린다,PosEnv,신나다
Y를 높이 들어올린다,PosEnv,기쁘다
Y를 높이 들어올린다,PosEnv,흥분하다
손바닥을 들여다본다,NegEnv,주저하다
손바닥을 들여다본다,NegEnv,초조하다
얼굴을 들이민다,PosEnv,재미있다
얼굴을 들이민다,NegEnv,열받다
물을 벌컥벌컥 들이킨다,NegEnv,두렵다
입만 달싹거리면서 뜸을 들인다,NegEnv,주저하다
곧 눈물이 떨어질 듯하다,NegEnv,슬프다
곧 눈물이 떨어질 듯하다,NegEnv,상처받다
곧 눈물이 떨어질 듯하다,NegEnv,절망하다
Y를 따라한다,PosEnv,좋아하다
Y를 따라한다,PosEnv,존경하다
Y를 따라한다,PosEnv,신나다
Y를 따라한다,NegEnv,무시하다
몸이 딱딱해진다,PosEnv,긴장하다
몸이 딱딱해진다,NegEnv,분노하다
몸이 딱딱해진다,NegEnv,긴장하다
몸이 딱딱해진다,NegEnv,당황하다
턱이 딱딱해진다,NegEnv,분노하다
Y를 때린다,PosEnv,신나다
Y를 때린다,NegEnv,분노하다
자신의 뺨을 때린다,PosEnv,희망을 품다
자신의 뺨을 때린다,NegEnv,혼란스럽다
주먹으로 벽을 때린다,NegEnv,분노하다
주먹으로 벽을 때린다,NegEnv,화나다
왁자지껄하게 떠든다,PosEnv,신나다
왁자지껄하게 떠든다,PosEnv,재미있다
왁자지껄하게 떠든다,NegEnv,혼란스럽다
큰 소리로 떠들어댄다,PosEnv,긴장하다
큰 소리로 떠들어댄다,PosEnv,신나다
큰 소리로 떠들어댄다,PosEnv,흥분하다
큰 소리로 떠들어댄다,NegEnv,긴장하다
다리를 떤다,PosEnv,간절하다
다리를 떤다,PosEnv,긴장하다
다리를 떤다,NegEnv,걱정하다
다리를 떤다,NegEnv,초조하다
다리를 떤다,NegEnv,긴장하다
몸을 덜덜 떤다,PosEnv,흥분하다
몸을 덜덜 떤다,NegEnv,분노하다
몸을 덜덜 떤다,NegEnv,부끄럽다
몸을 덜덜 떤다,NegEnv,겁에 질리다
몸을 벌벌 떤다,PosEnv,도취되다
몸을 벌벌 떤다,NegEnv,겁에 질리다
몸을 벌벌 떤다,NegEnv,혐오하다
몸을 벌벌 떤다,NegEnv,경악하다
발을 달달 떤다,PosEnv,긴장하다
발을 달달 떤다,PosEnv,흥분하다
발을 달달 떤다,NegEnv,불편하다
발을 달달 떤다,NegEnv,불안하다
발을 달달 떤다,NegEnv,긴장하다
손을 부르르 떤다,NegEnv,분노하다
손을 부르르 떤다,NegEnv,화나다
야단을 떤다,PosEnv,희망을 품다
야단을 떤다,PosEnv,기쁘다
야단을 떤다,PosEnv,기대하다
야단을 떤다,NegEnv,열받다
온몸을 덜덜 떤다,NegEnv,울분을 느끼다
온몸을 덜덜 떤다,NegEnv,충격받다
입술을 파르르 떤다,NegEnv,불안하다
주먹을 부르르 떤다,NegEnv,울분을 느끼다
주먹을 부르르 떤다,NegEnv,분개하다
머리를 떨군다,PosEnv,쑥스럽다
머리를 떨군다,NegEnv,위축되다
머리를 떨군다,NegEnv,상처받다
힘없이 고개를 떨군다,NegEnv,슬프다
힘없이 고개를 떨군다,NegEnv,좌절하다
힘없이 고개를 떨군다,NegEnv,체념하다
눈 주변이 떨린다,PosEnv,흥분하다
눈 주변이 떨린다,NegEnv,두렵다
눈 주변이 떨린다,NegEnv,불안하다
눈동자가 떨린다,NegEnv,혼란스럽다
눈동자가 떨린다,NegEnv,초조하다
눈동자가 떨린다,NegEnv,충격받다
두 손이 살짝 떨린다,PosEnv,감동받다
두 손이 살짝 떨린다,PosEnv,긴장하다
두 손이 살짝 떨린다,PosEnv,흥분하다
두 손이 살짝 떨린다,NegEnv,두렵다
두 손이 살짝 떨린다,NegEnv,초조하다
두 손이 살짝 떨린다,NegEnv,긴장하다
목소리가 떨린다,NegEnv,분노하다
목소리가 떨린다,NegEnv,겁에 질리다
목소리가 떨린다,NegEnv,좌절하다
손가락이 파르르 떨린다,PosEnv,놀라다
손가락이 파르르 떨린다,PosEnv,긴장하다
손가락이 파르르 떨린다,NegEnv,경악하다
손가락이 파르르 떨린다,NegEnv,긴장하다
손이 떨린다,PosEnv,감동받다
손이 떨린다,PosEnv,긴장하다
손이 떨린다,PosEnv,경외심이 들다
손이 떨린다,NegEnv,슬프다
손이 떨린다,NegEnv,두렵다
손이 떨린다,NegEnv,긴장하다
입이 파르르 떨린다,PosEnv,쑥스럽다
입이 파르르 떨린다,PosEnv,수줍다
입이 파르르 떨린다,NegEnv,슬프다
전신이 떨린다,PosEnv,긴장하다
전신이 떨린다,PosEnv,희열을 느끼다
전신이 떨린다,PosEnv,흥분하다
전신이 떨린다,NegEnv,겁에 질리다
전신이 떨린다,NegEnv,긴장하다
전신이 떨린다,NegEnv,충격받다
주먹이 부르르 떨린다,NegEnv,분노하다
주먹이 부르르 떨린다,NegEnv,증오하다
턱이 덜덜 떨린다,PosEnv,흥분하다
턱이 덜덜 떨린다,NegEnv,두렵다
턱이 덜덜 떨린다,NegEnv,당황하다
턱이 부들부들 떨린다,NegEnv,분노하다
턱이 부들부들 떨린다,NegEnv,분개하다
호흡이 떨린다,PosEnv,놀라다
호흡이 떨린다,PosEnv,경외심이 들다
호흡이 떨린다,NegEnv,울분을 느끼다
호흡이 떨린다,NegEnv,충격받다
목소리가 가늘게 떨린다,PosEnv,감동받다
목소리가 가늘게 떨린다,PosEnv,놀라다
목소리가 가늘게 떨린다,PosEnv,고맙다
목소리가 가늘게 떨린다,NegEnv,슬프다
목소리가 가늘게 떨린다,NegEnv,자책하다
목소리가 가늘게 떨린다,NegEnv,충격받다
고개를 떨어뜨린다,NegEnv,절망하다
고개를 떨어뜨린다,NegEnv,자책하다
고개를 떨어뜨린다,NegEnv,체념하다
손을 올렸다 힘없이 떨어뜨린다,NegEnv,유감스럽다
손을 올렸다 힘없이 떨어뜨린다,NegEnv,애석하다
주의력이 떨어진다,PosEnv,신나다
주의력이 떨어진다,PosEnv,흥분하다
주의력이 떨어진다,NegEnv,초조하다
주의력이 떨어진다,NegEnv,불안하다
팔짝팔짝 뛰어다닌다,PosEnv,즐겁다
팔짝팔짝 뛰어다닌다,PosEnv,신나다
팔짝팔짝 뛰어다닌다,PosEnv,흥분하다
팔짝팔짝 뛰어다닌다,NegEnv,겁에 질리다
펄쩍 뛰어오른다,PosEnv,신나다
펄쩍 뛰어오른다,PosEnv,놀라다
펄쩍 뛰어오른다,NegEnv,억울하다
펄쩍 뛰어오른다,NegEnv,충격받다
뛰쳐나간다,PosEnv,즐겁다
뛰쳐나간다,PosEnv,신나다
뛰쳐나간다,PosEnv,흥분하다
뛰쳐나간다,NegEnv,울분을 느끼다
뛰쳐나간다,NegEnv,분개하다
숨어 있다가 후다닥 뛰쳐나온다,PosEnv,안도하다
숨어 있다가 후다닥 뛰쳐나온다,NegEnv,겁에 질리다
눈을 가늘게 뜬다,PosEnv,부러워하다
눈을 가늘게 뜬다,NegEnv,의심하다
눈을 부릅 뜬다,PosEnv,자신감에 차다
눈을 부릅 뜬다,NegEnv,짜증나다
눈을 부릅 뜬다,NegEnv,화나다
실눈을 뜬다,NegEnv,분노하다
실눈을 뜬다,NegEnv,의심하다
실눈을 뜬다,NegEnv,혐오하다
황급히 자리를 뜬다,NegEnv,분노하다
황급히 자리를 뜬다,NegEnv,당황하다
만면에 미소를 띤다,PosEnv,행복하다
만면에 미소를 띤다,PosEnv,편안하다
만면에 미소를 띤다,PosEnv,안심하다
얼굴에 가벼운 홍조를 띤다,PosEnv,쑥스럽다
얼굴에 가벼운 홍조를 띤다,PosEnv,설레다
얼굴에 가벼운 홍조를 띤다,NegEnv,부끄럽다
얼굴에 가벼운 홍조를 띤다,NegEnv,당황하다
입술이 바짝 마른다,PosEnv,기대하다
입술이 바짝 마른다,PosEnv,긴장하다
입술이 바짝 마른다,NegEnv,불안하다
입술이 바짝 마른다,NegEnv,긴장하다
술을 마신다,PosEnv,즐겁다
술을 마신다,PosEnv,신나다
술을 마신다,PosEnv,재미있다
술을 마신다,NegEnv,슬프다
술을 마신다,NegEnv,절망하다
술을 마신다,NegEnv,불쾌하다
사람들과 어울려 술을 마신다,PosEnv,즐겁다
사람들과 어울려 술을 마신다,PosEnv,신나다
Y를 똑바로 마주한다,PosEnv,자신감에 차다
Y를 똑바로 마주한다,NegEnv,저항하다
Y를 똑바로 마주한다,NegEnv,화나다
귀를 막는다,NegEnv,불신하다
손바닥으로 입을 막는다,PosEnv,놀라다
손바닥으로 입을 막는다,NegEnv,경악하다
손바닥으로 입을 막는다,NegEnv,충격받다
옷깃으로 코와 입을 막는다,NegEnv,역겨워하다
옷깃으로 코와 입을 막는다,NegEnv,혐오하다
코를 막는다,NegEnv,혐오하다
코를 막는다,NegEnv,경멸하다
말문이 막힌다,PosEnv,감동받다
말문이 막힌다,PosEnv,경외심이 들다
말문이 막힌다,NegEnv,충격받다
말문이 막힌다,NegEnv,체념하다
숨이 턱 막힌다,NegEnv,충격받다
숨이 턱 막힌다,NegEnv,당황하다
등을 둥그렇게 만다,NegEnv,위축되다
등을 둥그렇게 만다,NegEnv,외롭다
미소를 살짝 짓다 만다,NegEnv,낙담하다
입술을 동그랗게 만다,PosEnv,욕정을 느끼다
입술을 동그랗게 만다,NegEnv,지루하다
Y에게 잠깐 미소를 지어 보이고 만다,PosEnv,쑥스럽다
Y에게 잠깐 미소를 지어 보이고 만다,NegEnv,혐오하다
Y에게 잠깐 미소를 지어 보이고 만다,NegEnv,주저하다
오케이 사인을 만들어보인다,PosEnv,평안하다
오케이 사인을 만들어보인다,PosEnv,안정을 찾다
오케이 사인을 만들어보인다,PosEnv,누그러지다
오케이 사인을 만들어보인다,NegEnv,심드렁하다
Y를 오래 만져본다,PosEnv,좋아하다
Y를 오래 만져본다,PosEnv,욕정을 느끼다
Y를 오래 만져본다,NegEnv,의심하다
귀를 만지작거린다,PosEnv,평안하다
귀를 만지작거린다,PosEnv,안정을 찾다
귀를 만지작거린다,NegEnv,주저하다
목젖을 만지작거린다,PosEnv,부러워하다
목젖을 만지작거린다,NegEnv,불안하다
물건을 만지작거린다,PosEnv,쑥스럽다
물건을 만지작거린다,PosEnv,긴장하다
물건을 만지작거린다,NegEnv,의심하다
물건을 만지작거린다,NegEnv,불안하다
얼굴을 만지작거린다,PosEnv,쑥스럽다
얼굴을 만지작거린다,PosEnv,긴장하다
얼굴을 만지작거린다,NegEnv,초조하다
얼굴을 만지작거린다,NegEnv,불안하다
얼굴을 만지작거린다,NegEnv,긴장하다
소매를 만지작거린다,NegEnv,우울하다
소매를 만지작거린다,NegEnv,초라하다
손을 만지작거린다,PosEnv,좋아하다
손을 만지작거린다,NegEnv,우울하다
자신의 턱을 만지작거린다,PosEnv,평안하다
자신의 턱을 만지작거린다,NegEnv,고민하다
Y를 만지작거린다,NegEnv,위축되다
Y를 만지작거린다,NegEnv,초조하다
괜시리 옷자락을 만진다,PosEnv,좋아하다
괜시리 옷자락을 만진다,PosEnv,쑥스럽다
괜시리 옷자락을 만진다,PosEnv,부러워하다
괜시리 옷자락을 만진다,NegEnv,수치스럽다
괜시리 옷자락을 만진다,NegEnv,초조하다
손가락으로 벌어진 입술을 만진다,PosEnv,욕정을 느끼다
손가락으로 벌어진 입술을 만진다,NegEnv,불안하다
말이 많아진다,PosEnv,신나다
말이 많아진다,NegEnv,조급하다
말이 많아진다,NegEnv,당황하다
주먹을 말아쥔다,NegEnv,화나다
날카롭게 말하다,NegEnv,화나다
날카롭게 말하다,NegEnv,짜증나다
날카롭게 말하다,NegEnv,조급하다
평소보다 어눌하게 말하다,NegEnv,불안하다
가까스로 말한다,NegEnv,절망하다
갈라진 목소리로 말한다,PosEnv,감동받다
갈라진 목소리로 말한다,PosEnv,흥분하다
갈라진 목소리로 말한다,NegEnv,자책하다
갈라진 목소리로 말한다,NegEnv,그리워하다
갈라진 목소리로 말한다,NegEnv,충격받다
나지막하게 말한다,PosEnv,좋아하다
나지막하게 말한다,PosEnv,평안하다
나지막하게 말한다,NegEnv,위축되다
나지막하게 말한다,NegEnv,초라하다
나지막하게 말한다,NegEnv,두렵다
돌려 말한다,PosEnv,쑥스럽다
돌려 말한다,NegEnv,싫어하다
돌려 말한다,NegEnv,무시하다
떨리는 목소리로 말한다,PosEnv,감동받다
떨리는 목소리로 말한다,PosEnv,기쁘다
떨리는 목소리로 말한다,PosEnv,놀라다
떨리는 목소리로 말한다,NegEnv,겁에 질리다
떨리는 목소리로 말한다,NegEnv,절박하다
떨리는 목소리로 말한다,NegEnv,충격받다
또박또박하게 말한다,PosEnv,확신에 차다
또박또박하게 말한다,NegEnv,분노하다
또박또박하게 말한다,NegEnv,화나다
밝은 어조로 말한다,PosEnv,즐겁다
밝은 어조로 말한다,PosEnv,안정을 찾다
밝은 어조로 말한다,PosEnv,누그러지다
밝은 어조로 말한다,NegEnv,체념하다
부자연스럽게 말한다,PosEnv,쑥스럽다
부자연스럽게 말한다,NegEnv,분노하다
부자연스럽게 말한다,NegEnv,당황하다
돌직구로 말한다,PosEnv,확신에 차다
돌직구로 말한다,PosEnv,신뢰하다
돌직구로 말한다,NegEnv,반항하다
돌직구로 말한다,NegEnv,체념하다
빠른 어투로 말한다,PosEnv,신나다
빠른 어투로 말한다,NegEnv,짜증나다
빠른 어투로 말한다,NegEnv,분개하다
신랄한 말투로 말한다,NegEnv,무시하다
신랄한 말투로 말한다,NegEnv,혐오하다
신랄한 말투로 말한다,NegEnv,분개하다
에두르지 않고 바로 말한다,PosEnv,확신에 차다
에두르지 않고 바로 말한다,PosEnv,신뢰하다
에두르지 않고 바로 말한다,NegEnv,짜증나다
열심히 말한다,PosEnv,기쁘다
열심히 말한다,PosEnv,희열을 느끼다
열심히 말한다,NegEnv,억울하다
울먹거리며 애원하는 어조로 말한다,NegEnv,절박하다
울먹거리며 애원하는 어조로 말한다,NegEnv,억울하다
울먹이는 목소리로 말한다,PosEnv,안도하다
울먹이는 목소리로 말한다,PosEnv,감동받다
울먹이는 목소리로 말한다,PosEnv,고맙다
울먹이는 목소리로 말한다,NegEnv,슬프다
울먹이는 목소리로 말한다,NegEnv,겁에 질리다
지나치게 낮은 목소리로 말한다,NegEnv,절망하다
지나치게 낮은 목소리로 말한다,NegEnv,초라하다
지나치게 낮은 목소리로 말한다,NegEnv,자책하다
큰 소리로 말한다,PosEnv,만족하다
큰 소리로 말한다,PosEnv,기쁘다
큰 소리로 말한다,PosEnv,희열을 느끼다
큰 소리로 말한다,NegEnv,반항하다
큰 소리로 말한다,NegEnv,분개하다
평소보다 더 가라앉은 목소리로 말한다,NegEnv,우울하다
평소보다 더 가라앉은 목소리로 말한다,NegEnv,절망하다
평소보다 더 가라앉은 목소리로 말한다,NegEnv,낙담하다
평소보다 빠르게 말한다,PosEnv,신나다
평소보다 빠르게 말한다,PosEnv,기쁘다
평소보다 빠르게 말한다,NegEnv,분노하다
평소보다 빠르게 말한다,NegEnv,조급하다
평소보다 빠르게 말한다,NegEnv,분개하다
확고한 어투로 말한다,PosEnv,확신에 차다
활기 넘치게 말한다,PosEnv,즐겁다
활기 넘치게 말한다,PosEnv,기쁘다
활기 넘치게 말한다,PosEnv,행복하다
힘이 하나도 없는 목소리로 말한다,NegEnv,절망하다
힘이 하나도 없는 목소리로 말한다,NegEnv,초라하다
거칠게 말한다,PosEnv,자신감에 차다
거칠게 말한다,NegEnv,화나다
거칠게 말한다,NegEnv,불안하다
거칠어진 목소리로 말한다,PosEnv,욕정을 느끼다
거칠어진 목소리로 말한다,NegEnv,슬프다
거칠어진 목소리로 말한다,NegEnv,증오하다
거칠어진 목소리로 말한다,NegEnv,충격받다
걸걸해진 목소리로 말한다,PosEnv,신나다
걸걸해진 목소리로 말한다,NegEnv,분노하다
Y와 머리를 맞댄다,PosEnv,평안하다
Y와 머리를 맞댄다,PosEnv,신나다
Y와 머리를 맞댄다,PosEnv,희망에 차다
Y와 머리를 맞댄다,NegEnv,불편하다
Y와 이마를 맞댄다,PosEnv,좋아하다
Y와 이마를 맞댄다,PosEnv,유대감을 느끼다
Y와 이마를 맞댄다,NegEnv,화나다
Y를 반갑게 맞이한다,PosEnv,신나다
Y를 반갑게 맞이한다,PosEnv,기쁘다
가볍게 두 손을 맞잡는다,PosEnv,좋아하다
가볍게 두 손을 맞잡는다,PosEnv,행복하다
가볍게 두 손을 맞잡는다,PosEnv,유대감을 느끼다
가볍게 두 손을 맞잡는다,NegEnv,의심하다
가볍게 두 손을 맞잡는다,NegEnv,아쉽다
Y와 눈을 맞춘다,PosEnv,욕정을 느끼다
Y와 눈을 맞춘다,PosEnv,누그러지다
Y와 눈을 맞춘다,NegEnv,걱정하다
발바닥 장단을 맞춘다,PosEnv,즐겁다
발바닥 장단을 맞춘다,PosEnv,유쾌하다
발바닥 장단을 맞춘다,PosEnv,신나다
손가락으로 장단을 맞춘다,PosEnv,즐겁다
Y와 은근하게 눈을 맞춘다,PosEnv,욕정을 느끼다
Y와 은근하게 눈을 맞춘다,PosEnv,고맙다
Y와 은근하게 눈을 맞춘다,NegEnv,경계하다
Y와 입을 맞춘다,PosEnv,좋아하다
Y와 입을 맞춘다,PosEnv,욕정을 느끼다
Y와 계속해서 눈을 맞춘다,PosEnv,친밀감을 느끼다
Y와 계속해서 눈을 맞춘다,PosEnv,고맙다
Y와 계속해서 눈을 맞춘다,NegEnv,애증하다
Y와 눈높이를 맞춘다,PosEnv,친밀감을 느끼다
Y와 눈높이를 맞춘다,NegEnv,걱정하다
몸을 Y한테 맡긴다,PosEnv,욕정을 느끼다
몸을 Y한테 맡긴다,PosEnv,친밀감을 느끼다
몸을 Y한테 맡긴다,NegEnv,절망하다
몸을 Y한테 맡긴다,NegEnv,낙담하다
몸을 Y한테 맡긴다,NegEnv,충격받다
향기를 맡는다,PosEnv,안정을 찾다
Y에게 매달린다,PosEnv,좋아하다
Y에게 매달린다,NegEnv,두렵다
Y에게 매달린다,NegEnv,불안하다
뒷머리를 매만진다,PosEnv,부끄럽다
뒷머리를 매만진다,NegEnv,심드렁하다
얼굴을 매만진다,PosEnv,좋아하다
얼굴을 매만진다,NegEnv,걱정하다
옷을 매만진다,PosEnv,희망을 품다
옷을 매만진다,NegEnv,불안하다
머리를 매만진다,PosEnv,설레다
머리를 매만진다,PosEnv,기대하다
머리를 매만진다,PosEnv,긴장하다
머리를 매만진다,NegEnv,창피하다
머리를 매만진다,NegEnv,긴장하다
문 앞에서 맴돈다,PosEnv,설레다
문 앞에서 맴돈다,PosEnv,기대하다
문 앞에서 맴돈다,PosEnv,흥분하다
문 앞에서 맴돈다,NegEnv,초조하다
문 앞에서 맴돈다,NegEnv,불안하다
주위를 맴돈다,PosEnv,좋아하다
주위를 맴돈다,NegEnv,의심하다
주위를 맴돈다,NegEnv,걱정하다
주위를 맴돈다,NegEnv,긴장하다
눈물이 맺혀있다,PosEnv,감동받다
눈물이 맺혀있다,NegEnv,우울하다
눈물이 맺혀있다,NegEnv,슬프다
눈물이 맺혀있다,NegEnv,상처받다
구석에 머무른다,PosEnv,수줍다
구석에 머무른다,NegEnv,우울하다
한쪽 귀퉁이에 머문다,PosEnv,쑥스럽다
한쪽 귀퉁이에 머문다,PosEnv,긴장하다
한쪽 귀퉁이에 머문다,NegEnv,두렵다
한쪽 귀퉁이에 머문다,NegEnv,주저하다
한쪽 귀퉁이에 머문다,NegEnv,긴장하다
갑자기 움직임을 멈춘다,PosEnv,놀라다
갑자기 움직임을 멈춘다,NegEnv,충격받다
갑자기 하던 일을 멈춘다,PosEnv,놀라다
갑자기 하던 일을 멈춘다,NegEnv,놀라다
갑자기 하던 일을 멈춘다,NegEnv,불안하다
갑자기 하던 일을 멈춘다,NegEnv,충격받다
한순간 호흡을 멈춘다,PosEnv,놀라다
한순간 호흡을 멈춘다,NegEnv,경악하다
한순간 호흡을 멈춘다,NegEnv,충격받다
행동을 멈춘다,PosEnv,놀라다
행동을 멈춘다,NegEnv,겁에 질리다
행동을 멈춘다,NegEnv,충격받다
눈빛이 멍하다,NegEnv,망연자실하다
눈빛이 멍하다,NegEnv,실망하다
말투가 잔뜩 모나다,NegEnv,짜증나다
말투가 잔뜩 모나다,NegEnv,혐오하다
어디에 눈을 둬야 할지 모른다,PosEnv,쑥스럽다
어디에 눈을 둬야 할지 모른다,PosEnv,놀라다
