Head,Rel,Tail
눈이 환하게 빛난다,PosEnv,즐겁다
눈이 환하게 빛난다,PosEnv,신나다
눈이 환하게 빛난다,PosEnv,흥분하다
얼굴이 반짝반짝 빛난다,PosEnv,신나다
말투가 빠르다,PosEnv,신나다
말투가 빠르다,NegEnv,반항하다
슬며시 뒷걸음쳐 빠져나간다,NegEnv,초라하다
갑자기 대화에서 빠진다,NegEnv,두렵다
갑자기 대화에서 빠진다,NegEnv,체념하다
얼굴에 맥이 빠진다,NegEnv,실망하다
얼굴에 맥이 빠진다,NegEnv,낙담하다
볼이 빨개진다,PosEnv,놀라다
볼이 빨개진다,PosEnv,수줍다
볼이 빨개진다,NegEnv,화나다
볼이 빨개진다,NegEnv,질투하다
볼이 빨개진다,NegEnv,억울하다
말이 빨라진다,PosEnv,희열을 느끼다
말이 빨라진다,NegEnv,초조하다
말이 빨라진다,NegEnv,불안하다
평소보다 발걸음이 빨라진다,PosEnv,희망을 품다
평소보다 발걸음이 빨라진다,PosEnv,신나다
평소보다 발걸음이 빨라진다,PosEnv,긴장하다
평소보다 발걸음이 빨라진다,NegEnv,조급하다
평소보다 발걸음이 빨라진다,NegEnv,절박하다
평소보다 발걸음이 빨라진다,NegEnv,긴장하다
Y를 향한 발걸음이 빨라진다,PosEnv,좋아하다
Y를 향한 발걸음이 빨라진다,NegEnv,불안하다
몸을 뒤로 뺀다,NegEnv,두렵다
몸을 뒤로 뺀다,NegEnv,불편하다
몸을 뒤로 뺀다,NegEnv,당황하다
손을 홱 잡아 뺀다,PosEnv,부러워하다
손을 홱 잡아 뺀다,NegEnv,시기하다
Y에게 팔을 뻗는다,PosEnv,신뢰하다
Y에게 팔을 뻗는다,NegEnv,걱정하다
손을 뻗는다,PosEnv,좋아하다
손을 뻗는다,NegEnv,걱정하다
다리가 뻣뻣해진다,PosEnv,긴장하다
다리가 뻣뻣해진다,NegEnv,소름이 끼치다
다리가 뻣뻣해진다,NegEnv,충격받다
목이 뻣뻣해진다,PosEnv,긴장하다
목이 뻣뻣해진다,NegEnv,긴장하다
목이 뻣뻣해진다,NegEnv,불안하다
목이 뻣뻣해진다,NegEnv,충격받다
표정이 뾰로퉁하다,NegEnv,삐지다
입술을 삐죽거린다,NegEnv,삐지다
Y에게 사과한다,NegEnv,유감스럽다
Y에게 사과한다,NegEnv,애석하다
웃음기가 사라진다,NegEnv,위축되다
웃음기가 사라진다,NegEnv,경계하다
호의를 사양한다,NegEnv,두렵다
호의를 사양한다,NegEnv,멸시하다
호의를 사양한다,NegEnv,경계하다
주의가 산만하다,PosEnv,신나다
주의가 산만하다,PosEnv,흥분하다
주의가 산만하다,NegEnv,걱정하다
주의가 산만하다,NegEnv,불안하다
Y와 함께 산책한다,PosEnv,좋아하다
Y와 함께 산책한다,PosEnv,평안하다
고개를 낮춰 Y를 살펴본다,NegEnv,의심하다
Y의 반응을 살핀다,PosEnv,좋아하다
Y의 반응을 살핀다,NegEnv,두렵다
주의 깊게 살핀다,NegEnv,의심하다
주의 깊게 살핀다,NegEnv,걱정하다
주의 깊게 살핀다,NegEnv,불안하다
Y의 눈치를 살핀다,PosEnv,좋아하다
Y의 눈치를 살핀다,PosEnv,수줍다
Y의 눈치를 살핀다,NegEnv,위축되다
Y의 눈치를 살핀다,NegEnv,겁에 질리다
Y를 우스갯거리로 삼는다,PosEnv,고소해하다
Y를 우스갯거리로 삼는다,NegEnv,무시하다
Y를 우스갯거리로 삼는다,NegEnv,경멸하다
Y를 우스갯거리로 삼는다,NegEnv,시기하다
Y를 방패 삼는다,NegEnv,위축되다
Y를 방패 삼는다,NegEnv,두렵다
눈물을 삼킨다,NegEnv,자책하다
눈물을 삼킨다,NegEnv,억울하다
침을 꿀꺽 삼킨다,PosEnv,놀라다
침을 꿀꺽 삼킨다,NegEnv,고민하다
침을 어렵게 삼킨다,NegEnv,상처받다
침을 어렵게 삼킨다,NegEnv,고통스럽다
침을 자주 삼킨다,PosEnv,욕정을 느끼다
침을 자주 삼킨다,NegEnv,불편하다
침을 자주 삼킨다,NegEnv,불안하다
낯빛이 잔뜩 상기된다,PosEnv,즐겁다
낯빛이 잔뜩 상기된다,PosEnv,행복하다
낯빛이 잔뜩 상기된다,NegEnv,분노하다
낯빛이 잔뜩 상기된다,NegEnv,화나다
낯빛이 잔뜩 상기된다,NegEnv,당황하다
얼굴이 상기된다,PosEnv,신나다
얼굴이 상기된다,PosEnv,흥분하다
얼굴이 상기된다,NegEnv,분노하다
신음이 입 밖으로 새어나온다,PosEnv,놀라다
신음이 입 밖으로 새어나온다,NegEnv,창피하다
신음이 입 밖으로 새어나온다,NegEnv,부끄럽다
신음이 입 밖으로 새어나온다,NegEnv,수치스럽다
자기도 모르게 긴 한숨이 새어나온다,PosEnv,안심하다
자기도 모르게 긴 한숨이 새어나온다,NegEnv,우울하다
자신도 모르게 쓴웃음이 새어나온다,NegEnv,상처받다
자신도 모르게 울음이 새어나온다,PosEnv,감동받다
자신도 모르게 울음이 새어나온다,NegEnv,슬프다
자신도 모르게 울음이 새어나온다,NegEnv,겁에 질리다
자신도 모르게 울음이 새어나온다,NegEnv,그리워하다
오래 뜸을 들이며 생각한다,NegEnv,혐오하다
오래 뜸을 들이며 생각한다,NegEnv,주저하다
이리저리 서성거린다,NegEnv,고민하다
이리저리 서성거린다,NegEnv,불안하다
한 장소에서 서성거린다,PosEnv,긴장하다
한 장소에서 서성거린다,PosEnv,흥분하다
한 장소에서 서성거린다,NegEnv,걱정하다
한 장소에서 서성거린다,NegEnv,불안하다
행동이 서투르다,NegEnv,초조하다
행동이 서투르다,NegEnv,불안하다
행동이 서투르다,NegEnv,당황하다
움직임이 둔하고 서툴다,NegEnv,창피하다
움직임이 둔하고 서툴다,NegEnv,수치스럽다
움직임이 둔하고 서툴다,NegEnv,체념하다
다리를 넓게 벌리고 선다,PosEnv,만족하다
다리를 넓게 벌리고 선다,NegEnv,반항하다
등을 기대고 선다,NegEnv,좌절하다
등을 기대고 선다,NegEnv,체념하다
양팔을 딱 붙이고 선다,PosEnv,자신감에 차다
양팔을 딱 붙이고 선다,NegEnv,긴장되다
핏대를 세운다,NegEnv,분노하다
핏대를 세운다,NegEnv,화나다
핏대를 세운다,NegEnv,분개하다
꼿꼿한 자세로 선다,PosEnv,확신에 차다
꼿꼿한 자세로 선다,NegEnv,긴장하다
발길을 멈춰 세운다,PosEnv,감탄하다
발길을 멈춰 세운다,PosEnv,놀라다
발길을 멈춰 세운다,NegEnv,경악하다
옷깃을 세운다,PosEnv,흥분하다
옷깃을 세운다,NegEnv,당황하다
Y에게 속닥거린다,NegEnv,질투하다
Y에게 가까이 오라고 손짓한다,PosEnv,좋아하다
Y에게 가까이 오라고 손짓한다,PosEnv,친밀감을 느끼다
Y에게 가까이 오라고 손짓한다,PosEnv,누그러지다
Y에게 가까이 오라고 손짓한다,NegEnv,집착하다
Y에게 손짓한다,NegEnv,혐오하다
눈물이 솟구친다,PosEnv,감동받다
눈물이 솟구친다,NegEnv,억울하다
눈물이 솟구친다,NegEnv,충격받다
어깨를 살짝 앞으로 수그린다,NegEnv,위축되다
수다스러워진다,PosEnv,신나다
수다스러워진다,PosEnv,재미있다
수다스러워진다,PosEnv,긴장하다
수다스러워진다,NegEnv,긴장하다
수다스러워진다,NegEnv,당황하다
왁자지껄하게 군다,PosEnv,희망을 품다
왁자지껄하게 군다,PosEnv,즐겁다
왁자지껄하게 군다,PosEnv,재미있다
왁자지껄하게 군다,NegEnv,분노하다
왁자지껄하게 군다,NegEnv,불안하다
황급히 수습한다,PosEnv,놀라다
황급히 수습한다,NegEnv,당황하다
고개를 푹 숙인다,PosEnv,부끄럽다
고개를 푹 숙인다,NegEnv,우울하다
고개를 푹 숙인다,NegEnv,초라하다
고개를 푹 숙인다,NegEnv,체념하다
고개를 가볍게 숙인다,PosEnv,존경하다
턱을 살짝 숙인다,PosEnv,고맙다
턱을 살짝 숙인다,NegEnv,아쉽다
턱을 살짝 숙인다,NegEnv,애석하다
허리를 숙인다,PosEnv,존경하다
허리를 숙인다,NegEnv,두렵다
Y를 향해 상체를 숙인다,PosEnv,존경하다
Y를 향해 상체를 숙인다,NegEnv,의심하다
몸을 숨긴다,PosEnv,부끄럽다
몸을 숨긴다,NegEnv,위축되다
몸을 숨긴다,NegEnv,겁에 질리다
몸을 숨긴다,NegEnv,불안하다
표정을 숨긴다,PosEnv,부끄럽다
표정을 숨긴다,NegEnv,불신하다
숨는다,PosEnv,부끄럽다
숨는다,NegEnv,두렵다
숨는다,NegEnv,불안하다
Y 뒤로 숨는다,PosEnv,부끄럽다
Y 뒤로 숨는다,NegEnv,위축되다
Y 뒤로 숨는다,NegEnv,초라하다
Y 뒤로 숨는다,NegEnv,두렵다
조용한 곳에 숨어든다,PosEnv,부끄럽다
조용한 곳에 숨어든다,NegEnv,위축되다
조용한 곳에 숨어든다,NegEnv,두렵다
목소리가 쉬었다,PosEnv,흥분하다
목소리가 쉬었다,NegEnv,슬프다
목소리가 쉬었다,NegEnv,절망하다
얕은 한숨을 쉰다,NegEnv,슬프다
얕은 한숨을 쉰다,NegEnv,그리워하다
Y를 스토킹한다,NegEnv,집착하다
불면증에 시달린다,NegEnv,불안하다
Y와 대화를 시도한다,PosEnv,유대감을 느끼다
Y와 대화를 시도한다,NegEnv,불안하다
시무룩해한다,NegEnv,우울하다
시시덕거린다,PosEnv,즐겁다
시시덕거린다,PosEnv,유쾌하다
시시덕거린다,NegEnv,무시하다
시시덕거린다,NegEnv,경멸하다
취미에 심취한다,PosEnv,흥분하다
취미에 심취한다,NegEnv,쓸쓸하다
취미에 심취한다,NegEnv,외롭다
심호흡한다,NegEnv,걱정하다
심호흡한다,NegEnv,불안하다
얄궂게 싱글거린다,PosEnv,고소해하다
얄궂게 싱글거린다,PosEnv,기쁘다
얄궂게 싱글거린다,NegEnv,무시하다
땀을 쏟는다,PosEnv,신나다
땀을 쏟는다,PosEnv,흥분하다
땀을 쏟는다,NegEnv,두렵다
땀을 쏟는다,NegEnv,초조하다
땀을 쏟는다,NegEnv,당황하다
자주 눈물을 펑펑 쏟는다,PosEnv,감동받다
자주 눈물을 펑펑 쏟는다,NegEnv,우울하다
자주 눈물을 펑펑 쏟는다,NegEnv,초라하다
물건을 쏟는다,PosEnv,놀라다
물건을 쏟는다,PosEnv,긴장하다
물건을 쏟는다,NegEnv,긴장하다
물건을 쏟는다,NegEnv,당황하다
말을 쏟아낸다,PosEnv,유쾌하다
말을 쏟아낸다,PosEnv,흥분하다
말을 쏟아낸다,NegEnv,짜증나다
말을 쏟아낸다,NegEnv,화나다
말을 쏟아낸다,NegEnv,억울하다
땀이 쏟아진다,PosEnv,신나다
땀이 쏟아진다,PosEnv,흥분하다
땀이 쏟아진다,NegEnv,겁에 질리다
땀이 쏟아진다,NegEnv,당황하다
목을 쓰다듬는다,PosEnv,놀라다
목을 쓰다듬는다,NegEnv,충격받다
팔을 쓰다듬는다,NegEnv,불신하다
팔을 쓰다듬는다,NegEnv,의심하다
손끝으로 턱밑을 쓰다듬는다,NegEnv,고민하다
옷을 쓰다듬는다,PosEnv,안도하다
옷을 쓰다듬는다,NegEnv,걱정하다
자신의 목울대를 쓰다듬는다,PosEnv,욕망하다
자신의 목울대를 쓰다듬는다,NegEnv,불안하다
자신의 팔을 쓰다듬는다,PosEnv,평안하다
자신의 팔을 쓰다듬는다,NegEnv,걱정하다
자신의 팔을 쓰다듬는다,NegEnv,불안하다
Y의 등을 쓰다듬는다,PosEnv,친밀감을 느끼다
Y의 등을 쓰다듬는다,NegEnv,걱정하다
Y의 팔을 쓰다듬는다,PosEnv,좋아하다
Y의 팔을 쓰다듬는다,NegEnv,걱정하다
Y의 머릿결을 쓰다듬어준다,PosEnv,좋아하다
Y의 머릿결을 쓰다듬어준다,NegEnv,슬프다
발을 헛디뎌 쓰러진다,PosEnv,놀라다
발을 헛디뎌 쓰러진다,NegEnv,겁에 질리다
의자에 풀썩 쓰러진다,PosEnv,안도하다
의자에 풀썩 쓰러진다,NegEnv,좌절하다
의자에 풀썩 쓰러진다,NegEnv,체념하다
털썩 쓰러진다,PosEnv,안도하다
털썩 쓰러진다,NegEnv,충격받다
털썩 쓰러진다,NegEnv,절망하다
털썩 쓰러진다,NegEnv,체념하다
안경을 바로 쓴다,PosEnv,긴장하다
안경을 바로 쓴다,NegEnv,긴장하다
호흡을 고르게 하려고 신경 쓴다,NegEnv,불안하다
Y에게 쓴소리한다,NegEnv,분노하다
Y에게 쓴소리한다,NegEnv,걱정하다
가슴을 쓸어내린다,PosEnv,안도하다
가슴을 쓸어내린다,PosEnv,안심하다
머리를 쓸어내린다,PosEnv,평안하다
머리를 쓸어내린다,NegEnv,고민하다
손으로 뺨을 쓸어내린다,PosEnv,안정을 찾다
손으로 뺨을 쓸어내린다,NegEnv,고민하다
손으로 얼굴을 쓸어내린다,NegEnv,절망하다
손으로 얼굴을 쓸어내린다,NegEnv,낙담하다
앞머리를 쓸어내린다,PosEnv,긴장하다
앞머리를 쓸어내린다,NegEnv,두렵다
앞머리를 쓸어내린다,NegEnv,긴장하다
팔을 천천히 쓸어내린다,PosEnv,부끄럽다
팔을 천천히 쓸어내린다,NegEnv,외롭다
허벅지를 쓸어내린다,PosEnv,욕정을 느끼다
허벅지를 쓸어내린다,PosEnv,긴장하다
허벅지를 쓸어내린다,NegEnv,긴장하다
이마가 훤히 드러나도록 앞머리를 쓸어올린다,NegEnv,분노하다
눈썹을 씰룩거린다,PosEnv,재미있다
눈썹을 씰룩거린다,NegEnv,짜증나다
눈썹을 씰룩거린다,NegEnv,조급하다
엉덩이를 씰룩거린다,PosEnv,신나다
엉덩이를 씰룩거린다,NegEnv,삐지다
코를 씰룩거린다,NegEnv,의심하다
코를 씰룩거린다,NegEnv,불만족스럽다
손을 반복해서 씻는다,NegEnv,혼란스럽다
손을 반복해서 씻는다,NegEnv,불안하다
이를 악문다,NegEnv,분노하다
강하게 악수한다,PosEnv,자부심을 느끼다
강하게 악수한다,PosEnv,신뢰하다
강하게 악수한다,NegEnv,질투하다
강하게 악수한다,NegEnv,불편하다
Y에게 달려가서 안긴다,PosEnv,좋아하다
Y에게 달려가서 안긴다,PosEnv,기쁘다
Y에게 달려가서 안긴다,NegEnv,두렵다
Y에게 달려가서 안긴다,NegEnv,불안하다
Y의 품에 안긴다,PosEnv,행복하다
Y의 품에 안긴다,PosEnv,편안하다
Y의 품에 안긴다,NegEnv,두렵다
Y를 뻣뻣하게 안는다,NegEnv,슬프다
Y를 뻣뻣하게 안는다,NegEnv,혐오하다
스스로를 감싸 안는다,NegEnv,쓸쓸하다
스스로를 감싸 안는다,NegEnv,외롭다
Y를 감싸 안는다,PosEnv,좋아하다
Y를 감싸 안는다,PosEnv,행복하다
Y를 감싸 안는다,PosEnv,즐겁다
Y를 감싸 안는다,NegEnv,슬프다
Y를 감싸 안는다,NegEnv,걱정하다
Y를 안심시킨다,NegEnv,동정하다
Y를 안심시킨다,NegEnv,유감스럽다
Y를 안아준다,PosEnv,좋아하다
Y를 안아준다,PosEnv,행복하다
Y를 안아준다,NegEnv,동정하다
Y를 안아준다,NegEnv,걱정하다
안절부절 못한다,PosEnv,희망을 품다
안절부절 못한다,PosEnv,기대하다
안절부절 못한다,NegEnv,걱정하다
안절부절 못한다,NegEnv,초조하다
곧은 자세로 앉는다,PosEnv,평안하다
곧은 자세로 앉는다,PosEnv,자부심을 느끼다
곧은 자세로 앉는다,NegEnv,불편하다
다리를 꼬고 앉는다,PosEnv,만족하다
다리를 꼬고 앉는다,PosEnv,긴장하다
다리를 꼬고 앉는다,NegEnv,짜증나다
다리를 꼬고 앉는다,NegEnv,불안하다
다리를 꼬고 앉는다,NegEnv,긴장하다
다리를 넓게 벌리고 앉는다,PosEnv,평안하다
다리를 넓게 벌리고 앉는다,NegEnv,무시하다
다리를 넓게 벌리고 앉는다,NegEnv,반항하다
머리를 뒤로 살짝 젖히고 앉는다,PosEnv,평안하다
머리를 뒤로 살짝 젖히고 앉는다,NegEnv,멸시하다
Y로부터 멀찍이 떨어져 앉는다,NegEnv,초라하다
Y로부터 멀찍이 떨어져 앉는다,NegEnv,불안하다
의자를 바짝 당겨 앉는다,PosEnv,좋아하다
의자를 바짝 당겨 앉는다,PosEnv,기대하다
의자를 바짝 당겨 앉는다,NegEnv,긴장하다
축 처진 자세로 앉는다,NegEnv,걱정하다
축 처진 자세로 앉는다,NegEnv,불안하다
쪼그려 앉는다,PosEnv,부끄럽다
쪼그려 앉는다,NegEnv,슬프다
쪼그려 앉는다,NegEnv,수치스럽다
쪼그려 앉는다,NegEnv,체념하다
쭈그려 앉는다,NegEnv,창피하다
쭈그려 앉는다,NegEnv,위축되다
쭈그려 앉는다,NegEnv,체념하다
Y와 무릎을 맞대고 앉는다,PosEnv,편안하다
Y와 무릎을 맞대고 앉는다,PosEnv,유대감을 느끼다
Y와 무릎을 맞대고 앉는다,NegEnv,슬프다
가만히 앉아있다,PosEnv,평안하다
가만히 앉아있다,NegEnv,고뇌하다
꼼짝하지 않는다,PosEnv,만족스럽다
꼼짝하지 않는다,NegEnv,우울하다
꼼짝하지 않는다,NegEnv,절망하다
눈을 깜빡거리지 않는다,PosEnv,자신감에 차다
눈을 깜빡거리지 않는다,NegEnv,분노하다
눈을 깜빡거리지 않는다,NegEnv,불안하다
눈을 피하지 않는다,PosEnv,자신감에 차다
눈을 피하지 않는다,NegEnv,증오하다
눈을 피하지 않는다,NegEnv,반항하다
대화에 끼어들지 않는다,NegEnv,짜증나다
대화에 끼어들지 않는다,NegEnv,무시하다
머리를 감지 않는다,NegEnv,우울하다
머리를 감지 않는다,NegEnv,초라하다
머리를 감지 않는다,NegEnv,체념하다
머리를 쓰지 않는다,NegEnv,체념하다
무릎을 꿇는 일도 마다치 않는다,PosEnv,존경하다
무릎을 꿇는 일도 마다치 않는다,PosEnv,경외심이 들다
무릎을 꿇는 일도 마다치 않는다,NegEnv,절박하다
물러서지 않는다,PosEnv,자신감에 차다
물러서지 않는다,PosEnv,자부심을 느끼다
물러서지 않는다,NegEnv,반항하다
물러서지 않는다,NegEnv,멸시하다
미소가 떠나지 않는다,PosEnv,즐겁다
미소가 떠나지 않는다,PosEnv,행복하다
사과하지 않는다,NegEnv,분노하다
사과하지 않는다,NegEnv,혐오하다
나서지 않는다,PosEnv,부끄럽다
나서지 않는다,NegEnv,두렵다
시선을 물리지 않는다,NegEnv,반항하다
아무 말도 하지 않는다,PosEnv,수줍다
아무 말도 하지 않는다,NegEnv,절망하다
아무 말도 하지 않는다,NegEnv,체념하다
아무런 반응을 보이지 않는다,NegEnv,우울하다
아무런 반응을 보이지 않는다,NegEnv,초라하다
옷을 갈아입지 않는다,NegEnv,우울하다
옷을 갈아입지 않는다,NegEnv,절망하다
응답하지 않는다,NegEnv,좌절하다
이야기하는 동안 Y와 눈길을 마주치지 않는다,PosEnv,쑥스럽다
이야기하는 동안 Y와 눈길을 마주치지 않는다,NegEnv,위축되다
이야기하는 동안 Y와 눈길을 마주치지 않는다,NegEnv,주저하다
입 밖으로 말이 튀어나오지 않는다,PosEnv,쑥스럽다
입 밖으로 말이 튀어나오지 않는다,PosEnv,놀라다
입 밖으로 말이 튀어나오지 않는다,NegEnv,어이없다
입 밖으로 말이 튀어나오지 않는다,NegEnv,경악하다
음식을 입에도 대지 않는다,NegEnv,불안하다
입은 웃고 있는데 눈은 웃지 않는다,NegEnv,질투하다
자극에 반응하지 않는다,PosEnv,편안하다
자극에 반응하지 않는다,NegEnv,심드렁하다
자극에 반응하지 않는다,NegEnv,반항하다
자극에 반응하지 않는다,NegEnv,체념하다
전혀 머뭇거리지 않는다,PosEnv,행복하다
전혀 머뭇거리지 않는다,NegEnv,분노하다
정면을 보지 않는다,PosEnv,쑥스럽다
정면을 보지 않는다,NegEnv,위축되다
정면을 보지 않는다,NegEnv,초라하다
Y가 끼어들 틈을 주지 않는다,PosEnv,흥분하다
Y가 끼어들 틈을 주지 않는다,NegEnv,무시하다
Y가 끼어들 틈을 주지 않는다,NegEnv,화나다
Y가 끼어들 틈을 주지 않는다,NegEnv,혐오하다
Y가 불러도 대답하지 않는다,NegEnv,우울하다
Y가 불러도 대답하지 않는다,NegEnv,절망하다
Y가 불러도 대답하지 않는다,NegEnv,충격받다
Y를 개의치 않는다,PosEnv,신나다
Y를 개의치 않는다,NegEnv,무시하다
Y를 놓지 않는다,PosEnv,좋아하다
Y를 놓지 않는다,PosEnv,욕정을 느끼다
Y를 놓지 않는다,NegEnv,집착하다
Y에게 맡기지 않는다,NegEnv,불신하다
Y에게 맡기지 않는다,NegEnv,불안하다
Y와 눈을 마주치지 않는다,PosEnv,쑥스럽다
Y와 눈을 마주치지 않는다,NegEnv,위축되다
Y와 눈을 마주치지 않는다,NegEnv,혐오하다
Y와 눈을 마주치지 않는다,NegEnv,주저하다
Y와 마주치려 하지 않는다,PosEnv,부끄럽다
Y와 마주치려 하지 않는다,PosEnv,쑥스럽다
Y와 마주치려 하지 않는다,NegEnv,두렵다
Y와 마주치려 하지 않는다,NegEnv,혐오하다
Y와 마주치려 하지 않는다,NegEnv,불편하다
대답하지 않는다,PosEnv,쑥스럽다
대답하지 않는다,NegEnv,의심하다
대답하지 않는다,NegEnv,불안하다
눈의 초점이 맞지 않다,NegEnv,슬프다
눈의 초점이 맞지 않다,NegEnv,망연자실하다
시선에 아무 감정도 담겨 있지 않다,NegEnv,심드렁하다
움직임이 크지 않다,NegEnv,초라하다
눈빛이 어둡다,NegEnv,우울하다
눈빛이 어둡다,NegEnv,절망하다
눈빛이 어둡다,NegEnv,고통스럽다
표정이 어둡다,NegEnv,슬프다
표정이 어둡다,NegEnv,유감스럽다
표정이 어둡다,NegEnv,절망하다
말문을 여는 게 어렵다,PosEnv,감동받다
말문을 여는 게 어렵다,NegEnv,동정하다
말문을 여는 게 어렵다,NegEnv,당황하다
몸을 가만히 두기가 너무 어렵다,PosEnv,신나다
몸을 가만히 두기가 너무 어렵다,PosEnv,흥분하다
몸을 가만히 두기가 너무 어렵다,NegEnv,걱정하다
몸을 가만히 두기가 너무 어렵다,NegEnv,초조하다
자신의 머릿결을 어루만진다,PosEnv,평안하다
자신의 머릿결을 어루만진다,NegEnv,긴장하다
자신의 턱을 손으로 어루만진다,PosEnv,평안하다
자신의 턱을 손으로 어루만진다,NegEnv,고뇌하다
Y를 어루만진다,PosEnv,욕정을 느끼다
Y를 어루만진다,NegEnv,집착하다
Y를 어루만진다,NegEnv,초조하다
Y를 어루만진다,NegEnv,불안하다
Y의 손을 어루만진다,PosEnv,좋아하다
Y의 손을 어루만진다,NegEnv,쓸쓸하다
Y와 친하게 어울린다,PosEnv,즐겁다
Y와 친하게 어울린다,PosEnv,편안하다
Y의 뒤에서 어정거린다,PosEnv,좋아하다
Y의 뒤에서 어정거린다,PosEnv,수줍다
Y의 뒤에서 어정거린다,NegEnv,위축되다
Y의 뒤에서 어정거린다,NegEnv,초라하다
호흡을 억제한다,PosEnv,놀라다
호흡을 억제한다,NegEnv,당황하다
손을 가슴 위에 얹는다,PosEnv,감동받다
손을 가슴 위에 얹는다,PosEnv,놀라다
손을 가슴 위에 얹는다,PosEnv,고맙다
손을 가슴 위에 얹는다,NegEnv,답답하다
허리춤에 양손을 얹는다,NegEnv,분노하다
허리춤에 양손을 얹는다,NegEnv,화나다
Y의 등에 손을 얹는다,PosEnv,좋아하다
Y의 등에 손을 얹는다,NegEnv,걱정하다
Y의 머리 위에 손을 얹는다,PosEnv,친밀감을 느끼다
Y의 머리 위에 손을 얹는다,NegEnv,아쉽다
Y의 머리 위에 손을 얹는다,NegEnv,애석하다
Y의 어깨에 손을 얹는다,PosEnv,좋아하다
Y의 어깨에 손을 얹는다,PosEnv,유대감을 느끼다
Y의 어깨에 손을 얹는다,NegEnv,동정하다
얼굴이 눈물로 얼룩진다,NegEnv,우울하다
얼굴이 눈물로 얼룩진다,NegEnv,슬프다
얼굴이 눈물로 얼룩진다,NegEnv,절망하다
말을 얼버무린다,PosEnv,쑥스럽다
말을 얼버무린다,NegEnv,의심하다
말을 얼버무린다,NegEnv,당황하다
Y를 얼싸안는다,PosEnv,만족하다
Y를 얼싸안는다,PosEnv,감동받다
순간적으로 몸이 얼어붙는다,PosEnv,긴장하다
순간적으로 몸이 얼어붙는다,PosEnv,놀라다
순간적으로 몸이 얼어붙는다,PosEnv,경외심이 들다
순간적으로 몸이 얼어붙는다,NegEnv,겁에 질리다
순간적으로 몸이 얼어붙는다,NegEnv,긴장하다
순간적으로 몸이 얼어붙는다,NegEnv,충격받다
동공에 초점이 없다,NegEnv,절망하다
동공에 초점이 없다,NegEnv,그리워하다
동공에 초점이 없다,NegEnv,충격받다
시선이 흔들림 없다,PosEnv,확신에 차다
시선이 흔들림 없다,PosEnv,자신감에 차다
시선이 흔들림 없다,NegEnv,분노하다
아무런 표정이 없다,NegEnv,심드렁하다
얼굴에 핏기가 없다,NegEnv,상처받다
얼굴에 핏기가 없다,NegEnv,고통스럽다
조금의 웃음기도 없다,NegEnv,화나다
양팔을 단단히 엇건다,NegEnv,불안하다
물을 자꾸 엎지른다,PosEnv,긴장하다
물을 자꾸 엎지른다,NegEnv,불안하다
물을 자꾸 엎지른다,NegEnv,긴장하다
문을 세차게 여닫는다,NegEnv,분노하다
문을 세차게 여닫는다,NegEnv,화나다
Y에게 연락한다,PosEnv,희망을 품다
Y에게 연락한다,PosEnv,기대하다
Y에게 연락한다,NegEnv,절박하다
